message_id,action,message_type,consistency_status,detected_issue,supporting_facts,evidence_ids,reason_repaired,final_reason
msg_023,digest,payment,ok,none,safety=safe;resolver=safe non-urgent content;type=payment;action=digest,message_0243;message_0102;message_0101,false,safe non-urgent content; message concerns payment or account activity; similar prior message message_0243
msg_091,mute,scam,ok,none,safety=high_risk;resolver=hard safety risk;type=scam;action=mute,message_0238,false,"Safety override; credential or login code request, credential request with instruction; safety rules found risky content; similar prior message message_0238"
msg_090,digest,unknown,ok,none,safety=safe;resolver=ambiguous content;type=unknown;action=digest,none,false,ambiguous content; unfamiliar personal sender without urgency
msg_048,mute,scam,ok,none,safety=high_risk;resolver=hard safety risk;type=scam;action=mute,message_0151;message_0100;message_0150,false,"Safety override; urgency pressure, payment or qr pressure; safety rules found risky content; similar prior message message_0151"
msg_040,mute,greeting,ok,none,safety=suspicious;resolver=repeated forwarding pattern;type=greeting;action=mute,message_0136;message_0135,false,repeated forwarding pattern; forwarded greeting pattern; recipient has muted this group; similar prior message message_0136
msg_075,digest,event,ok,none,safety=safe;resolver=safe non-urgent content;type=event;action=digest,message_0206;message_0205,false,safe non-urgent content; message describes an operational update or event; similar prior message message_0206
msg_005,digest,unknown,ok,none,safety=safe;resolver=ambiguous content;type=unknown;action=digest,message_0065;message_0049;message_0382;message_0231;message_0114,false,ambiguous content; image attachment is available; low-information image; OCR found little or no visible text; similar prior message message_0065
msg_104,digest,unknown,ok,none,safety=safe;resolver=ambiguous content;type=unknown;action=digest,message_0224;message_0383;message_0232;message_0050,false,ambiguous content; unfamiliar personal sender without urgency; similar prior message message_0224
msg_069,mute,greeting,ok,none,safety=suspicious;resolver=repeated forwarding pattern;type=greeting;action=mute,message_0177;message_0193;message_0042;message_0080;message_0178,false,repeated forwarding pattern; forwarded greeting pattern; recipient has muted this group; similar prior message message_0177
msg_107,mute,scam,ok,none,safety=high_risk;resolver=hard safety risk;type=scam;action=mute,message_0056;message_0235;message_0195;message_0213;message_0369,false,"Safety override; prompt injection text, credential or login code request; safety rules found risky content; similar prior message message_0056"
msg_070,mute,scam,ok,none,safety=high_risk;resolver=hard safety risk;type=scam;action=mute,message_0369;message_0195;message_0213;message_0085;message_0199,false,"Safety override; credential or login code request, credential request with instruction; safety rules found risky content; message arrived during quiet hours; similar prior message message_0369"
msg_003,notify,business_update,ok,none,safety=safe;resolver=trusted time-critical update;type=business_update;action=notify,message_0031;message_0400;message_0061;message_0267;message_0062,false,trusted time-critical update; verified business update or account notice; similar prior message message_0031
msg_099,digest,personal,ok,none,safety=safe;resolver=safe non-urgent content;type=personal;action=digest,message_0227;message_0249,false,safe non-urgent content; message is from a personal chat; similar prior message message_0227
msg_008,digest,business_update,ok,none,safety=safe;resolver=safe non-urgent content;type=business_update;action=digest,message_0296;message_0072;message_0071,false,safe non-urgent content; message comes from a business account; message arrived during quiet hours; similar prior message message_0296
msg_092,digest,scam,ok,none,safety=suspicious;resolver=suspicious but not decisive;type=scam;action=digest,message_0346,false,suspicious but not decisive; safety rules found risky content; similar prior message message_0346
msg_060,notify,event,ok,none,safety=safe;resolver=useful urgent content;type=event;action=notify,message_0284;message_0176;message_0404;message_0175;message_0375,false,useful urgent content; message describes an operational update or event; image attachment is available; image layout appears to be document; similar prior message message_0284
msg_004,notify,event,ok,none,safety=safe;resolver=trusted time-critical update;type=event;action=notify,message_0005;message_0245;message_0246;message_0064;message_0063,false,trusted time-critical update; business appointment or scheduled update; similar prior message message_0005
msg_030,mute,promotion,ok,none,safety=safe;resolver=severe notification fatigue;type=promotion;action=mute,message_0115;message_0335;message_0050;message_0383,false,severe notification fatigue; message contains promotional language; image attachment is available; recipient has muted this group; similar prior message message_0115
msg_045,digest,unknown,ok,none,safety=safe;resolver=ambiguous content;type=unknown;action=digest,message_0146,false,ambiguous content; similar prior message message_0146
msg_052,mute,scam,ok,none,safety=high_risk;resolver=hard safety risk;type=scam;action=mute,message_0208;message_0207;message_0159;message_0160,false,"Safety override; credential or login code request, credential request with instruction; safety rules found risky content; similar prior message message_0208"
msg_009,digest,unknown,ok,none,safety=safe;resolver=ambiguous content;type=unknown;action=digest,message_0074,false,ambiguous content; recipient has muted this group; similar prior message message_0074
msg_071,digest,unknown,ok,none,safety=safe;resolver=ambiguous content;type=unknown;action=digest,message_0197,false,ambiguous content; similar prior message message_0197
msg_016,digest,unknown,ok,none,safety=safe;resolver=ambiguous content;type=unknown;action=digest,message_0024,false,ambiguous content; message arrived during quiet hours; similar prior message message_0024
msg_065,digest,promotion,ok,none,safety=safe;resolver=safe non-urgent content;type=promotion;action=digest,message_0261;message_0260;message_0186,false,safe non-urgent content; message contains promotional language; image attachment is available; image layout appears to be text_poster; similar prior message message_0261
msg_038,mute,forward,ok,none,safety=suspicious;resolver=repeated forwarding pattern;type=forward;action=mute,message_0131;message_0132,false,repeated forwarding pattern; message has a forwarding signal; similar prior message message_0131
msg_086,notify,business_update,ok,none,safety=safe;resolver=trusted time-critical update;type=business_update;action=notify,message_0222,false,trusted time-critical update; verified business update or account notice; voice-note attachment is available; similar prior message message_0222
msg_014,mute,promotion,ok,none,safety=safe;resolver=promotion opt-out or repeated dismissal;type=promotion;action=mute,message_0017;message_0018;message_0258;message_0084;message_0083,false,promotion opt-out or repeated dismissal; message contains promotional language; recipient has opted out or dismissed similar promotions; similar prior message message_0017
msg_094,mute,promotion,ok,none,safety=safe;resolver=severe notification fatigue;type=promotion;action=mute,message_0356,false,severe notification fatigue; message contains promotional language; similar prior message message_0356
msg_029,mute,promotion,ok,none,safety=suspicious;resolver=repeated forwarding pattern;type=promotion;action=mute,message_0113;message_0095;message_0332;message_0401;message_0049,false,repeated forwarding pattern; message contains promotional language; image attachment is available; low-information image; OCR found little or no visible text; similar prior message message_0113
msg_105,mute,forward,ok,none,safety=suspicious;resolver=severe notification fatigue;type=forward;action=mute,message_0233;message_0373,false,severe notification fatigue; message has a forwarding signal; similar prior message message_0233
msg_002,digest,payment,ok,none,safety=safe;resolver=safe non-urgent content;type=payment;action=digest,message_0003;message_0059;message_0169;message_0266;message_0041,false,safe non-urgent content; message concerns payment or account activity; similar prior message message_0003
msg_010,digest,business_update,ok,none,safety=safe;resolver=safe non-urgent content;type=business_update;action=digest,message_0011;message_0242;message_0075;message_0076,false,safe non-urgent content; verified business update or account notice; similar prior message message_0011
msg_078,mute,forward,ok,none,safety=suspicious;resolver=severe notification fatigue;type=forward;action=mute,message_0211,false,severe notification fatigue; message has a forwarding signal; recipient has muted this group; similar prior message message_0211
msg_013,digest,scam,ok,none,safety=suspicious;resolver=suspicious but not decisive;type=scam;action=digest,none,false,suspicious but not decisive; safety rules found risky content
msg_018,mute,forward,ok,none,safety=suspicious;resolver=repeated forwarding pattern;type=forward;action=mute,message_0026,false,repeated forwarding pattern; message has a forwarding signal; similar prior message message_0026
msg_044,mute,scam,ok,none,safety=high_risk;resolver=hard safety risk;type=scam;action=mute,message_0143,false,"Safety override; credential or login code request, credential request with instruction; safety rules found risky content; similar prior message message_0143"
msg_032,digest,unknown,ok,none,safety=safe;resolver=ambiguous content;type=unknown;action=digest,message_0119;message_0285,false,ambiguous content; similar prior message message_0119
msg_106,digest,personal,ok,none,safety=safe;resolver=safe non-urgent content;type=personal;action=digest,message_0234;message_0376,false,safe non-urgent content; message is from a personal chat; similar prior message message_0234
msg_006,mute,scam,ok,none,safety=high_risk;resolver=hard safety risk;type=scam;action=mute,message_0067;message_0097;message_0029;message_0044;message_0068,false,"Safety override; urgency pressure, payment or qr pressure; safety rules found risky content; similar prior message message_0067"
msg_109,mute,scam,ok,none,safety=high_risk;resolver=hard safety risk;type=scam;action=mute,message_0151;message_0152;message_0237;message_0100;message_0150,false,Safety override; payment or qr pressure; safety rules found risky content; similar prior message message_0151
msg_108,mute,scam,ok,none,safety=high_risk;resolver=hard safety risk;type=scam;action=mute,message_0094;message_0093,false,"Safety override; credential or login code request, credential request with instruction; safety rules found risky content; similar prior message message_0094"
msg_019,digest,scam,ok,none,safety=suspicious;resolver=suspicious but not decisive;type=scam;action=digest,message_0277,false,suspicious but not decisive; safety rules found risky content; similar prior message message_0277
msg_088,digest,unknown,ok,none,safety=safe;resolver=ambiguous content;type=unknown;action=digest,message_0224;message_0232;message_0383,false,ambiguous content; voice attachment is available; voice-note attachment is available; recipient has muted this group; similar prior message message_0224
