message_id,evidence_message_ids,same_user,exists,relevance_summary,valid,notes
msg_023,message_0243;message_0102;message_0101,yes,yes,message_0243: shared_terms=account|and|app|available|banking|card|customer|dear; context=same_business; prior_user_event=True || message_0102: shared_terms=account|and|app|in|is|review|the|update; context=same_business; prior_user_event=True || message_0101: shared_terms=app|card|is|the|update|your; context=same_business; prior_user_event=True,yes,"passes existence, same-user, limit, duplicate, and relevance checks"
msg_091,message_0238,yes,yes,message_0238: shared_terms=access|account|active|can|code|digit|expire|just; context=same_sender; prior_user_event=True,yes,"passes existence, same-user, limit, duplicate, and relevance checks"
msg_090,none,yes,yes,none,yes,"passes existence, same-user, limit, duplicate, and relevance checks"
msg_048,message_0151;message_0100;message_0150,yes,yes,message_0151: shared_terms=access|admin|and|be|card|notice|penalty|qr; context=same_sender+same_group; prior_user_event=True || message_0100: shared_terms=notice|qr|scan|the; context=same_group; prior_user_event=True || message_0150: shared_terms=be|blocked|notice|the; context=same_group; prior_user_event=True,yes,"passes existence, same-user, limit, duplicate, and relevance checks"
msg_040,message_0136;message_0135,yes,yes,message_0136: shared_terms=all|family|groups|this|to; context=same_sender+same_group; prior_user_event=True || message_0135: shared_terms=all|share; context=same_sender+same_group; prior_user_event=True,yes,"passes existence, same-user, limit, duplicate, and relevance checks"
msg_075,message_0206;message_0205,yes,yes,message_0206: shared_terms=changed|check|pickup|ride|the|update; context=same_business; prior_user_event=True || message_0205: shared_terms=details|driver|pickup|ride|your; context=same_business; prior_user_event=True,yes,"passes existence, same-user, limit, duplicate, and relevance checks"
msg_005,message_0065;message_0049;message_0382;message_0231;message_0114,yes,yes,message_0065: shared_terms=aside|can|denim|for|if|it|jacket|the; context=same_sender+same_group; prior_user_event=True || message_0049: shared_terms=and|aside|can|denim|if|it|jacket|till; context=same_sender+same_group; prior_user_event=True || message_0382: shared_terms=can|from|gate|if|it|pm|the|till; context=same_sender; prior_user_event=True || message_0231: shared_terms=can|if|it|the|till|you; context=same_sender; prior_user_event=True || message_0114: shared_terms=only|today; context=same_sender+same_group; prior_user_event=True,yes,"passes existence, same-user, limit, duplicate, and relevance checks"
msg_104,message_0224;message_0383;message_0232;message_0050,yes,yes,message_0224: shared_terms=aside|blue|for|if|it|jacket|kept|pm; context=same_sender; prior_user_event=True || message_0383: shared_terms=can|from|gate|hi|if|it|pm|the; context=same_sender; prior_user_event=True || message_0232: shared_terms=can|hi|if|it|the|you; context=same_sender; prior_user_event=True || message_0050: shared_terms=denim|gate|jacket|people|two; context=same_sender; prior_user_event=True,yes,"passes existence, same-user, limit, duplicate, and relevance checks"
msg_069,message_0177;message_0193;message_0042;message_0080,yes,yes,message_0177: shared_terms=good|morning|share; context=same_sender+same_group; prior_user_event=True || message_0193: shared_terms=good|morning|share; context=same_sender+same_group; prior_user_event=True || message_0042: shared_terms=good|morning; context=same_sender+same_group; prior_user_event=True || message_0080: shared_terms=good|morning|positive; context=same_sender; prior_user_event=True,yes,"passes existence, same-user, limit, duplicate, and relevance checks"
msg_107,message_0056;message_0235;message_0195;message_0213;message_0369,yes,yes,message_0056: shared_terms=and|otp|payments|to|wallet; context=same_sender; prior_user_event=True || message_0235: shared_terms=and|otp|payments|to|wallet; context=same_sender; prior_user_event=True || message_0195: shared_terms=and|otp|payments|to|wallet; context=same_sender; prior_user_event=True || message_0213: shared_terms=and|otp|payments|to|wallet; context=same_sender; prior_user_event=True || message_0369: shared_terms=code|otp|verification; context=same_sender; prior_user_event=True,yes,"passes existence, same-user, limit, duplicate, and relevance checks"
