message_id,media_type,action,message_type,confidence,reason,evidence_ids,media_facts_summary,safety_signals,urgency_level,consistent,notes
msg_005,image,digest,unknown,0.66,ambiguous content; image attachment is available; low-information image; OCR found little or no visible text; similar prior message message_0065,message_0065;message_0049;message_0382;message_0231;message_0114,layout=low_text_image; ocr_conf=0.0; qr=False,,medium,yes,"Action, type, reason, confidence, evidence, and media facts are internally consistent under deterministic rules."
msg_060,image,notify,event,0.68,useful urgent content; message describes an operational update or event; image attachment is available; image layout appears to be document; similar prior message message_0284,message_0284;message_0176;message_0404;message_0175;message_0375,layout=document; ocr_conf=0.9916; qr=False; domains=ircc.iitb.ac.in|iitb.ac; ocr_text=INDIAN INSTITUTE OF TECHNOLOGY BOMBAY INDUSTRIAL RESEARCH AND CONSULTANCY CENTER (IRCC) IIT BOMBAY RESEARCH INTERNSHIP 2023-24 Indian Instit,,high,yes,"Action, type, reason, confidence, evidence, and media facts are internally consistent under deterministic rules."
msg_030,image,mute,promotion,0.69,severe notification fatigue; message contains promotional language; image attachment is available; recipient has muted this group; similar prior message message_0115,message_0115;message_0335;message_0050;message_0383,layout=low_text_image; ocr_conf=0.0; qr=False,,low,yes,"Action, type, reason, confidence, evidence, and media facts are internally consistent under deterministic rules."
msg_065,image,digest,promotion,0.76,safe non-urgent content; message contains promotional language; image attachment is available; image layout appears to be text_poster; similar prior message message_0261,message_0261;message_0260;message_0186,layout=text_poster; ocr_conf=0.9764; qr=False; dates=24-30; ocr_text=amazon 24-30 JUNE Prime Day UP TO 11.2% UP TO 60% OFF CASHBACK 2X CASHBACK EXCLUSIVE ON SHOPCASH,,medium,yes,"Action, type, reason, confidence, evidence, and media facts are internally consistent under deterministic rules."
msg_086,voice,notify,business_update,0.82,trusted time-critical update; verified business update or account notice; voice-note attachment is available; similar prior message message_0222,message_0222,voice_transcript=Your airport pickup for tomorrow has moved to 6.15 a.m. The driver and hotel booking remained the same.,,high,yes,"Action, type, reason, confidence, evidence, and media facts are internally consistent under deterministic rules."
msg_029,image,mute,promotion,0.55,repeated forwarding pattern; message contains promotional language; image attachment is available; low-information image; OCR found little or no visible text; similar prior message message_0113,message_0113;message_0095;message_0332;message_0401;message_0049,layout=low_text_image; ocr_conf=0.0; qr=False,chain_or_excessive_forwarding,low,yes,"Action, type, reason, confidence, evidence, and media facts are internally consistent under deterministic rules."
msg_088,voice,digest,unknown,0.79,ambiguous content; voice attachment is available; voice-note attachment is available; recipient has muted this group; similar prior message message_0224,message_0224;message_0232;message_0383,"voice_transcript=I have kept the blue jacket aside for you. If you still want it, please confirm before I show it to someone else.",,low,yes,"Action, type, reason, confidence, evidence, and media facts are internally consistent under deterministic rules."
msg_027,image,digest,promotion,0.82,safe non-urgent content; message contains promotional language; image attachment is available; image layout appears to be document; similar prior message message_0007,message_0007;message_0033;message_0272;message_0109;message_0110,layout=document; ocr_conf=0.9715; qr=False; ocr_text=Happy Holidayers ADA IVU TOUR PACKAGES EXPERIENCE THE MAGIC OF LADAKH 40 UP TO % OFF SIGHTSEEING TRANSFERS MEALS STAY BOOK NOW +91 98056 076,,low,yes,"Action, type, reason, confidence, evidence, and media facts are internally consistent under deterministic rules."
msg_083,voice,digest,greeting,0.77,safe non-urgent content; message is conversational; voice-note attachment is available; similar prior message message_0219,message_0219,"voice_transcript=Can you check the onboarding doc tomorrow morning? Nothing urgent, I just want your comments before lunch.",,medium,yes,"Action, type, reason, confidence, evidence, and media facts are internally consistent under deterministic rules."
msg_085,voice,digest,scam,0.59,suspicious but not decisive; safety rules found risky content; voice-note attachment is available; message arrived during quiet hours; similar prior message message_0221,message_0221,voice_transcript=Your bank account will be blocked today. Share the OTT you received so we can complete verification immediately.,urgency_pressure;unverified_financial_sender;sender_report_history,medium,yes,"Action, type, reason, confidence, evidence, and media facts are internally consistent under deterministic rules."
