message_id,action,message_type,reason,confidence,evidence_message_ids
msg_023,digest,payment,safe non-urgent content; message concerns payment or account activity; recipient has opted out or dismissed similar promotions; similar prior message message_0243,0.84,message_0243;message_0102;message_0101;message_0011;message_0242
msg_091,mute,scam,"Safety override; credential or login code request, credential request with instruction; safety rules found risky content; similar prior message message_0238",0.95,message_0238;message_0381;message_0320
msg_090,digest,greeting,safe non-urgent content; message is conversational; similar prior message message_0339,0.73,message_0339;message_0338
msg_048,mute,scam,"Safety override; urgency pressure, payment or qr pressure; safety rules found risky content; similar prior message message_0151",0.94,message_0151;message_0152;message_0237;message_0100;message_0150
msg_040,mute,spam,severe notification fatigue; safety rules found risky content; recipient has muted this group; similar prior message message_0136,0.63,message_0136;message_0135;message_0158;message_0259;message_0083
msg_075,digest,event,safe non-urgent content; message describes an operational update or event; recipient has opted out or dismissed similar promotions; similar prior message message_0206,0.80,message_0206;message_0205;message_0294;message_0293;message_0295
msg_005,digest,unknown,ambiguous content; image attachment is available; similar prior message message_0065,0.66,message_0065;message_0049;message_0382;message_0231;message_0066
msg_104,digest,greeting,safe non-urgent content; message is conversational; similar prior message message_0224,0.76,message_0224;message_0383;message_0232;message_0050;message_0335
msg_069,digest,spam,suspicious but not decisive; safety rules found risky content; recipient has muted this group; similar prior message message_0177,0.67,message_0177;message_0193;message_0042;message_0080;message_0178
msg_107,mute,scam,"Safety override; prompt injection text, credential or login code request; safety rules found risky content; similar prior message message_0056",0.91,message_0056;message_0235;message_0195;message_0213;message_0369
msg_070,mute,scam,"Safety override; credential or login code request, credential request with instruction; safety rules found risky content; message arrived during quiet hours; similar prior message message_0369",0.95,message_0369;message_0195;message_0213;message_0023;message_0045
msg_003,digest,payment,safe non-urgent content; message refers to credentials or account access; recipient has opted out or dismissed similar promotions; similar prior message message_0031,0.84,message_0031;message_0400;message_0061;message_0267;message_0062
msg_099,digest,personal,safe non-urgent content; message is from a personal chat; similar prior message message_0227,0.77,message_0227;message_0249;message_0055;message_0222;message_0362
msg_008,digest,business_update,safe non-urgent content; message comes from a business account; message arrived during quiet hours; similar prior message message_0296,0.73,message_0296;message_0072;message_0071;message_0297
msg_092,digest,scam,suspicious but not decisive; safety rules found risky content; similar prior message message_0346,0.57,message_0346;message_0345;message_0344;message_0385;message_0384
