message_id,previous_local_voice_action,previous_local_voice_type,local_multimodal_action,local_multimodal_type,sanitized_visible_text_summary,ocr_confidence,qr_presence,detected_dates,detected_prices,detected_domains,safety_signals,urgency_signals,confidence_before,confidence_after,reason_for_changed_decision,extraction_success_failure,weak_or_empty_ocr
msg_005,digest,unknown,digest,unknown,,0.0,False,,,,,medium,0.66,0.66,,success,True
msg_060,digest,promotion,notify,event,INDIAN INSTITUTE OF TECHNOLOGY BOMBAY INDUSTRIAL RESEARCH AND CONSULTANCY CENTER (IRCC) IIT BOMBAY RESEARCH INTERNSHIP 2023-24 Indian Institute ofTechnology Bombay (IIT Bombay) off,0.9916,False,,,ircc.iitb.ac.in;iitb.ac,,high,0.82,0.68,useful urgent content; message describes an operational update or event; image attachment is available; image layout appears to be document; similar prior message message_0284,success,False
msg_030,mute,promotion,mute,promotion,,0.0,False,,,,,low,0.77,0.69,,success,True
msg_065,digest,promotion,digest,promotion,amazon 24-30 JUNE Prime Day UP TO 11.2% UP TO 60% OFF CASHBACK 2X CASHBACK EXCLUSIVE ON SHOPCASH,0.9764,False,24-30,,,,medium,0.82,0.76,,success,False
msg_029,mute,promotion,mute,promotion,,0.0,False,,,,chain_or_excessive_forwarding,low,0.63,0.55,,success,True
msg_027,digest,promotion,digest,promotion,Happy Holidayers ADA IVU TOUR PACKAGES EXPERIENCE THE MAGIC OF LADAKH 40 UP TO % OFF SIGHTSEEING TRANSFERS MEALS STAY BOOK NOW +91 98056 07657 20K+ 10K+ 5K+ 06+ Travelers Hotels Yo,0.9715,False,,,,,low,0.82,0.82,,success,False
msg_028,mute,promotion,mute,promotion,Happy Holidayers ADA IVU TOUR PACKAGES EXPERIENCE THE MAGIC OF LADAKH 40 UP TO % OFF SIGHTSEEING TRANSFERS MEALS STAY BOOK NOW +91 98056 07657 20K+ 10K+ 5K+ 06+ Travelers Hotels Yo,0.9715,False,,,,,low,0.87,0.87,,success,False
msg_064,digest,payment,mute,scam,WATCH THE BIGGEST CINEMATIC EPIC IN 4DX MX4D AT AN UNBEATABLE PRICE TICKETS STARTING 199 AT ONLY ON 21sT JUL'26 CORTETORRRS THEODYSSEY 17.07.26 PVR·INOX FOR BOOKINGS VISIT PVR OR I,0.9792,False,,,,credential_or_login_code_request;credential_request_with_instruction;urgency_pressure,low,0.78,0.95,"Safety override; credential or login code request, credential request with instruction; safety rules found risky content; image attachment is available; image layout appears to be document; similar prior message message_",success,False
msg_031,digest,personal,notify,event,"0 X Incident Review Friday, August 7 · 12:00 – 12:50pm Take meeting notes Start a new document to capture notes 3 guests 1 yes virtually 2 awaiting Shloka Shah Organizer Home - Edi",0.9715,False,Friday,,,,high,0.77,0.67,useful urgent content; message describes an operational update or event; image attachment is available; image layout appears to be document; similar prior message message_0227,success,False
msg_066,mute,promotion,mute,promotion,amazon 24-30 JUNE Prime Day UP TO 11.2% UP TO 60% OFF CASHBACK 2X CASHBACK EXCLUSIVE ON SHOPCASH,0.9764,False,24-30,,,,medium,0.82,0.81,,success,False
msg_049,digest,event,digest,event,Mart Jio,0.9811,False,,,,,low,0.80,0.80,,success,False
msg_053,mute,forward,mute,forward,"Nifty 50 - D - 1% - CMP: 15863.20(-2.35%) - 07-03-2022 Nifty 50, Spot, Daily 17879 Price breaks the prior swing low which 1% Brick Size, Renko Chart is a sign of bearishness. The n",0.998,False,07-03-2022,,,chain_or_excessive_forwarding,high,0.61,0.61,,success,False
msg_074,mute,forward,mute,promotion,Ingoude Company LAND PLOT FOR SALE Secure your dream investment! Prime land plots available 6品 strategic location high value future growth Contact Us www.reallygreatsite.com +123-4,0.9774,False,,,reallygreatsite.com,urgency_pressure;chain_or_excessive_forwarding,low,0.67,0.66,severe notification fatigue; message contains promotional language; image attachment is available; recipient has muted this group; similar prior message message_0203,success,False
msg_062,mute,forward,mute,forward,MISSINGPERSON Missing from: 4-11-2025 AGE:16 MELWYN NAME:- Door number 9 first Amani first cross Kasturi Nagar East of NGEF Plz help contacts:- Landmark Hyderabad Irani tea shop 73,0.9962,False,4-11-2025,,,chain_or_excessive_forwarding,medium,0.64,0.58,,success,False
msg_077,digest,payment,digest,event,FIELD TRIP CONSENT FORM has permission to participate in a planned field trip activity. DATE: TRIP DESTINATION: 20 DEPARTURE TIME: RETURN TIME: Transportation will be provided by s,0.9925,False,,,,,medium,0.75,0.73,safe non-urgent content; school operational update; image attachment is available; message arrived during quiet hours; similar prior message message_0051,success,False
