message_id,action,message_type,reason,confidence,evidence_message_ids
msg_023,digest,payment,safe non-urgent content; message concerns payment or account activity; similar prior message message_0243,0.84,message_0243;message_0102;message_0101
msg_091,mute,scam,"Safety override; credential or login code request, credential request with instruction; safety rules found risky content; similar prior message message_0238",0.95,message_0238
msg_090,digest,unknown,ambiguous content; unfamiliar personal sender without urgency,0.63,none
msg_048,mute,scam,"Safety override; urgency pressure, payment or qr pressure; safety rules found risky content; similar prior message message_0151",0.94,message_0151;message_0100;message_0150
msg_040,mute,greeting,repeated forwarding pattern; forwarded greeting pattern; recipient has muted this group; similar prior message message_0136,0.63,message_0136;message_0135
msg_075,digest,event,safe non-urgent content; message describes an operational update or event; similar prior message message_0206,0.80,message_0206;message_0205
msg_005,digest,unknown,ambiguous content; image attachment is available; low-information image; OCR found little or no visible text; similar prior message message_0065,0.66,message_0065;message_0049;message_0382;message_0231;message_0114
msg_104,digest,unknown,ambiguous content; unfamiliar personal sender without urgency; similar prior message message_0224,0.68,message_0224;message_0383;message_0232;message_0050
msg_069,mute,greeting,repeated forwarding pattern; forwarded greeting pattern; recipient has muted this group; similar prior message message_0177,0.62,message_0177;message_0193;message_0042;message_0080;message_0178
msg_107,mute,scam,"Safety override; prompt injection text, credential or login code request; safety rules found risky content; similar prior message message_0056",0.91,message_0056;message_0235;message_0195;message_0213;message_0369
msg_070,mute,scam,"Safety override; credential or login code request, credential request with instruction; safety rules found risky content; message arrived during quiet hours; similar prior message message_0369",0.95,message_0369;message_0195;message_0213;message_0085;message_0199
msg_003,notify,business_update,trusted time-critical update; verified business update or account notice; similar prior message message_0031,0.84,message_0031;message_0400;message_0061;message_0267;message_0062
msg_099,digest,personal,safe non-urgent content; message is from a personal chat; similar prior message message_0227,0.72,message_0227;message_0249
msg_008,digest,business_update,safe non-urgent content; message comes from a business account; message arrived during quiet hours; similar prior message message_0296,0.73,message_0296;message_0072;message_0071
msg_092,digest,scam,suspicious but not decisive; safety rules found risky content; similar prior message message_0346,0.57,message_0346
msg_060,notify,event,useful urgent content; message describes an operational update or event; image attachment is available; image layout appears to be document; similar prior message message_0284,0.68,message_0284;message_0176;message_0404;message_0175;message_0375
msg_004,notify,event,trusted time-critical update; business appointment or scheduled update; similar prior message message_0005,0.84,message_0005;message_0245;message_0246;message_0064;message_0063
msg_030,mute,promotion,severe notification fatigue; message contains promotional language; image attachment is available; recipient has muted this group; similar prior message message_0115,0.69,message_0115;message_0335;message_0050;message_0383
msg_045,digest,unknown,ambiguous content; similar prior message message_0146,0.66,message_0146
msg_052,mute,scam,"Safety override; credential or login code request, credential request with instruction; safety rules found risky content; similar prior message message_0208",0.84,message_0208;message_0207;message_0159;message_0160
msg_009,digest,unknown,ambiguous content; recipient has muted this group; similar prior message message_0074,0.75,message_0074
msg_071,digest,unknown,ambiguous content; similar prior message message_0197,0.66,message_0197
msg_016,digest,unknown,ambiguous content; message arrived during quiet hours; similar prior message message_0024,0.69,message_0024
msg_065,digest,promotion,safe non-urgent content; message contains promotional language; image attachment is available; image layout appears to be text_poster; similar prior message message_0261,0.76,message_0261;message_0260;message_0186
msg_038,mute,forward,repeated forwarding pattern; message has a forwarding signal; similar prior message message_0131,0.58,message_0131;message_0132
msg_086,notify,business_update,trusted time-critical update; verified business update or account notice; voice-note attachment is available; similar prior message message_0222,0.82,message_0222
msg_014,mute,promotion,promotion opt-out or repeated dismissal; message contains promotional language; recipient has opted out or dismissed similar promotions; similar prior message message_0017,0.79,message_0017;message_0018;message_0258;message_0084;message_0083
msg_094,mute,promotion,severe notification fatigue; message contains promotional language; similar prior message message_0356,0.60,message_0356
msg_029,mute,promotion,repeated forwarding pattern; message contains promotional language; image attachment is available; low-information image; OCR found little or no visible text; similar prior message message_0113,0.55,message_0113;message_0095;message_0332;message_0401;message_0049
msg_105,mute,forward,severe notification fatigue; message has a forwarding signal; similar prior message message_0233,0.65,message_0233;message_0373
msg_002,digest,payment,safe non-urgent content; message concerns payment or account activity; similar prior message message_0003,0.70,message_0003;message_0059;message_0169;message_0266;message_0041
msg_010,digest,business_update,safe non-urgent content; verified business update or account notice; similar prior message message_0011,0.84,message_0011;message_0242;message_0075;message_0076
msg_078,mute,forward,severe notification fatigue; message has a forwarding signal; recipient has muted this group; similar prior message message_0211,0.61,message_0211
msg_013,digest,scam,suspicious but not decisive; safety rules found risky content,0.58,none
msg_018,mute,forward,repeated forwarding pattern; message has a forwarding signal; similar prior message message_0026,0.60,message_0026
msg_044,mute,scam,"Safety override; credential or login code request, credential request with instruction; safety rules found risky content; similar prior message message_0143",0.93,message_0143
msg_032,digest,unknown,ambiguous content; similar prior message message_0119,0.69,message_0119;message_0285
msg_106,digest,personal,safe non-urgent content; message is from a personal chat; similar prior message message_0234,0.71,message_0234;message_0376
